"servicecenterid","serviceid","servicenameen","servicenamear","isavailable"
"508","148","","بلاغ هروب بحار- لم يتم القبض عليه","true"
"531","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"514","181","Modification of PRO card","تعديل بيانات بطاقة مندوب","true"
"512","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"503","551","","دخول حامل إذن دخول ( سياحية) عبر منفذ حتا الحدودي","true"
"484","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"501","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"490","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"515","1284","Stop search of one sponsored by private sector (After cancelling the labour card)","كف البحث عن مكفول لكفيل من الجهات الخاصة ( بعد الغاء بطاقة العمل)","true"
"471","241","Sponsorship by  GCC nationals to husband or foreigner wife and children","كفالة مواطني دول مجلس التعاون الخليجي للزوج أو الزوجة الأجنبية والأبناء","true"
"507","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"535","821","","استلام وتحويل الإقتراحات .","true"
"480","71","Work Entry Permit For Private Sector Or Free Zone","إذن دخول عمل لقطاع خاص او منطقة حرة","true"
"471","1223","Entry Permit For An Escort With A Patient For Treatment Multiple Trip","أذن دخول كمرافق لعلاج مريض لعدة سفرات","true"
"493","241","Sponsorship by  GCC nationals to husband or foreigner wife and children","كفالة مواطني دول مجلس التعاون الخليجي للزوج أو الزوجة الأجنبية والأبناء","true"
"481","1312","","إلغاء بطاقة مندوب","true"
"535","1313","Replacement of PRO Card","بدل تالف لبطاقة مندوب","true"
"515","1009","Sudden inspection (inspection campaigns).","التفتيش المفاجئ   ( الحملات التفتيشية )  .","true"
"499","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"472","1213","Multi Long Term Visit Visa - work or leisure","إذن دخول زيارة طويلة لعدة سفرات - عمل أو ترفية","true"
"471","168","Request for issuing a passport (electronic) for the foreigner spouse (dependency)","طلب إصدار جواز سفر (الالكتروني ) للزوجة الأجنبية ( بالتبعية)","true"
"492","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"474","423","","دخول المسافرين بموجب (إتفاقية الاعفاء المتبادل)","true"
"514","50","Entry Permit For Training Studying Or Rehabilitation Or Similar Purpose","اذن دخول للدراسةأو للتدريب والتأهيل وما في حكمها","true"
"536","49","Tourism Entry Permit For Guests Of Tourism Establishments Only","إذن دخول سياحية لضيوف المنشآت السياحيه فقط.","true"
"501","244","Request to issue permit of exit for  people under the entry permit sponsorship (Visits) after the case is finished.","طلب إصدار تصريح مغادرة لمكفولي أذن دخول (زيارات) بعد إنتهاء القضية مخالف  .","true"
"490","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"484","1303","","بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"471","866","","استرجاع الضمانات الماليةالقديمة(اليدوية)","true"
"496","80","Renewal of work residence","تجديد إقامة عمل","true"
"472","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"471","208","","إلغاء خدمة الإدارة الإلكترونية (On-line).","true"
"501","243","Request for issuing an exit permit for escorts on entry permits.","طلب إصدار تصريح مغادرة للمرافقين على أذونات الدخول.","true"
"471","1297","Stop searching for one sponsored by a UAE citizen/ GCC citizen","كف البحث عن مكفول كفيل مواطن / مواطن مجلس التعاون","true"
"474","581","","قاعدة المنهاد الجوية","true"
"471","1283","Stop search of one sponsored by private entities (partners and investors)","كف البحث عن مكفول لكفيل من الجهات الخاصة ( الشركاء والمستثمرين)","true"
"493","71","Work Entry Permit For Private Sector Or Free Zone","إذن دخول عمل لقطاع خاص او منطقة حرة","true"
"535","1264","","تجديد بطاقة المنشأه لمؤسسات القطاع الحكومي","true"
"497","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"471","1162","Reports","البلاغات","true"
"509","1099","","خروج  الوسائل البحرية الحديدية","true"
"501","121","Request for cancellation of the death","طلب شطب وفاة","true"
"481","1273","Renewal of PRO card for government sector","بطاقة مندوب لجهة قطاع حكومي","true"
"499","27","Issuance of employment entry permit- Domestic Helpers Category and alike for the UAE Female citizens.","إصدار إذن دخول عمل - للفئات المساعدة ومن في حكمهم للمواطنات.","true"
"484","178","Replacement of lost establishment card","بدل فاقد لبطاقة المنشأه","true"
"516","49","Tourism Entry Permit For Guests Of Tourism Establishments Only","إذن دخول سياحية لضيوف المنشآت السياحيه فقط.","true"
"504","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"482","821","","استلام وتحويل الإقتراحات .","true"
"478","821","","استلام وتحويل الإقتراحات .","true"
"514","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"509","146","","ترك عبور بحار من وسيله إلى وسيله أخرى في نفس الميناء.","true"
"501","1241","Entry Permit For Domestic Helpers Category Escorting for GCC Residents","إذن دخول للمرافقين الفئة المساعده لمقيمي دول مجلس التعاون","true"
"515","537","Ban Enquiry","استعلام عن الحظر","true"
"501","1213","Multi Long Term Visit Visa - work or leisure","إذن دخول زيارة طويلة لعدة سفرات - عمل أو ترفية","true"
"492","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"503","737","","الصيانة من قبل الشركات","true"
"499","104","Status Modification","تعديل وضع","true"
"535","1212","Multi Short Term Visit Visa - For Work Or Entertainment","إذن دخول زيارة قصيرة لعدة سفرات - عمل أو ترفية","true"
"493","175","Issuance of an additional copy of the establishment card.","إصدار نسخة إضافية من بطاقة المنشأة.","true"
"835","236","Request for issuing an exit permit in the event of loss of passport","طلب إصدار تصريح مغادرة في حالة فقدان جواز السفر","true"
"536","104","Status Modification","تعديل وضع","true"
"495","241","Sponsorship by  GCC nationals to husband or foreigner wife and children","كفالة مواطني دول مجلس التعاون الخليجي للزوج أو الزوجة الأجنبية والأبناء","true"
"493","236","Request for issuing an exit permit in the event of loss of passport","طلب إصدار تصريح مغادرة في حالة فقدان جواز السفر","true"
"513","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"514","1306","Renewal of PRO card for private sector or free zone","تجديد بطاقة مندوب لجهة قطاع خاص او المنطقة الحرة","true"
"492","74","Issuance of Entry Permit for Mission (90 days).","إصدار إذن دخول عمل مهمة لمدة (90 يوم).","true"
"501","27","Issuance of employment entry permit- Domestic Helpers Category and alike for the UAE Female citizens.","إصدار إذن دخول عمل - للفئات المساعدة ومن في حكمهم للمواطنات.","true"
"476","49","Tourism Entry Permit For Guests Of Tourism Establishments Only","إذن دخول سياحية لضيوف المنشآت السياحيه فقط.","true"
"472","74","Issuance of Entry Permit for Mission (90 days).","إصدار إذن دخول عمل مهمة لمدة (90 يوم).","true"
"515","577","","الخدمات الرئيسية لقسم الشكاوي و المنازعات","true"
"504","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"490","3","Short Term Visit Visa For 30 Days Under The Sponsorship Of (Companies).","اصدار اذن زيارة  قصيرة لمدة 30 يوم لمكفولي (الشركات).","true"
"509","149","","تصريح نزول بحارة - نزول إمارة","true"
"495","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"496","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"480","1314","Replacement for lost PRO card","بدل فاقد لبطاقة المندوب","true"
"536","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"480","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"474","48","","دخول حملة أذونات الدخول.","true"
"471","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"536","737","","الصيانة من قبل الشركات","true"
"480","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"512","821","","استلام وتحويل الإقتراحات .","true"
"513","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"503","1236","Entry Permit for GCC Residents","إذن دخول للمقيمين في دول مجلس التعاون","true"
"514","1273","Renewal of PRO card for government sector","بطاقة مندوب لجهة قطاع حكومي","true"
"507","148","","بلاغ هروب بحار- لم يتم القبض عليه","true"
"472","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"476","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"471","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"472","49","Tourism Entry Permit For Guests Of Tourism Establishments Only","إذن دخول سياحية لضيوف المنشآت السياحيه فقط.","true"
"493","1310","PRO card for national companies recipient of SME support programme","بطاقه مندوب للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"838","1264","","تجديد بطاقة المنشأه لمؤسسات القطاع الحكومي","true"
"838","181","Modification of PRO card","تعديل بيانات بطاقة مندوب","true"
"478","104","Status Modification","تعديل وضع","true"
"471","1305","Renewal of PRO card for national companies recipient of SME support programme","تجديد بطاقة مندوب للشركات الوطنية المستفيدة من برنامج دعم المشاريع الصغيره","true"
"838","236","Request for issuing an exit permit in the event of loss of passport","طلب إصدار تصريح مغادرة في حالة فقدان جواز السفر","true"
"500","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"474","347","","حـذف حركة الخـروج أو الدخول المسجل للمسافر بالخـطأ في الحاسب الالي .","true"
"481","1271","Renewal of establishment card for national companies benefiting from the SME support programme","تجديد بطاقه منشأه للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"531","177","Issuance of New PRO card","إصدار بطاقة جديدة للمندوب.","true"
"490","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"478","80","Renewal of work residence","تجديد إقامة عمل","true"
"471","21","-Temporary work permit for one year","تصريح عمل مؤقت لمدة سنة واحدة","true"
"512","178","Replacement of lost establishment card","بدل فاقد لبطاقة المنشأه","true"
"531","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"515","1302","Stop search of one sponsored by private sector (Residencies are issued from GDRFA)","كف البحث عن مكفول لكفيل من الجهات الخاصة (تصدر الإقامات من الإدارة)","true"
"476","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"501","232","Request for issuing exit permit for newborn babies","طلب إصدار تصريح مغادرة لحديثي الولادة.","true"
"516","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"493","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"503","489","","دخول حاملي إذن دخول (زيارة ) عبر منفذ حتا البري","true"
"498","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"497","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"514","80","Renewal of work residence","تجديد إقامة عمل","true"
"492","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"513","1273","Renewal of PRO card for government sector","بطاقة مندوب لجهة قطاع حكومي","true"
"512","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"471","855","","إصدار بدل فاقد للضمانات المالية (القديمة والبنكية).","true"
"472","236","Request for issuing an exit permit in the event of loss of passport","طلب إصدار تصريح مغادرة في حالة فقدان جواز السفر","true"
"512","75","Request for renewal of expired entry permits","طلب تجـــديد صلاحية أذونات الدخــول","true"
"835","244","Request to issue permit of exit for  people under the entry permit sponsorship (Visits) after the case is finished.","طلب إصدار تصريح مغادرة لمكفولي أذن دخول (زيارات) بعد إنتهاء القضية مخالف  .","true"
"514","184","Stopping a establishment card.","إيقاف بطاقة المنشأة.","true"
"835","243","Request for issuing an exit permit for escorts on entry permits.","طلب إصدار تصريح مغادرة للمرافقين على أذونات الدخول.","true"
"499","75","Request for renewal of expired entry permits","طلب تجـــديد صلاحية أذونات الدخــول","true"
"493","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"471","1310","PRO card for national companies recipient of SME support programme","بطاقه مندوب للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"493","1274","","تجديد بطاقة مندوب اجنبي","true"
"516","821","","استلام وتحويل الإقتراحات .","true"
"484","3","Short Term Visit Visa For 30 Days Under The Sponsorship Of (Companies).","اصدار اذن زيارة  قصيرة لمدة 30 يوم لمكفولي (الشركات).","true"
"471","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"481","33","-","إصدار إذن دخول عمل -  للفئات المساعدة ومن في حكمهم على كفالة مواطني دول مجلس التعاون الخليجي","true"
"838","243","Request for issuing an exit permit for escorts on entry permits.","طلب إصدار تصريح مغادرة للمرافقين على أذونات الدخول.","true"
"504","106","Adding a newborn (outside the state).","إضافة مولود (خارج الدولة).","true"
"471","823","","تحديد وتحصيل قيمة الالتزامات المالية على الكفيل","true"
"480","75","Request for renewal of expired entry permits","طلب تجـــديد صلاحية أذونات الدخــول","true"
"535","1273","Renewal of PRO card for government sector","بطاقة مندوب لجهة قطاع حكومي","true"
"478","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"503","491","","دخول حاملي إذن دخول (زيارة طويلة -  90يوم   ) عبر منفذ حتا البري","true"
"484","1310","PRO card for national companies recipient of SME support programme","بطاقه مندوب للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"471","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"471","1212","Multi Short Term Visit Visa - For Work Or Entertainment","إذن دخول زيارة قصيرة لعدة سفرات - عمل أو ترفية","true"
"500","3","Short Term Visit Visa For 30 Days Under The Sponsorship Of (Companies).","اصدار اذن زيارة  قصيرة لمدة 30 يوم لمكفولي (الشركات).","true"
"531","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"471","1263","","اصدار بطاقه منشأه (لمؤسسات القطاع الحكومي)","true"
"497","3","Short Term Visit Visa For 30 Days Under The Sponsorship Of (Companies).","اصدار اذن زيارة  قصيرة لمدة 30 يوم لمكفولي (الشركات).","true"
"536","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"535","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"493","1212","Multi Short Term Visit Visa - For Work Or Entertainment","إذن دخول زيارة قصيرة لعدة سفرات - عمل أو ترفية","true"
"501","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"471","1319","Add validity of Entry Permit for the tourism","اضافة صلاحيه خدمة اذن دخول لسياحه","true"
"500","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"484","181","Modification of PRO card","تعديل بيانات بطاقة مندوب","true"
"838","1314","Replacement for lost PRO card","بدل فاقد لبطاقة المندوب","true"
"478","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"516","737","","الصيانة من قبل الشركات","true"
"504","163","Application for issuing family book in lieu of damaged one","طلب إصدار خلاصة قيد بدل تالف","true"
"516","27","Issuance of employment entry permit- Domestic Helpers Category and alike for the UAE Female citizens.","إصدار إذن دخول عمل - للفئات المساعدة ومن في حكمهم للمواطنات.","true"
"493","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"502","104","Status Modification","تعديل وضع","true"
"838","1271","Renewal of establishment card for national companies benefiting from the SME support programme","تجديد بطاقه منشأه للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"513","172","Renewal of the establishment card of a private sector or free zone","تجديد بطاقة منشأة لمؤسسات القطاع الخاص او المنطقه الحره","true"
"516","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"471","205","Modification addition or replacement of electronic service subscription (On-line service.)","تعديل او اضافة أو بدل فاقد لخدمة الإدارة الالكترونية (On - line) .","true"
"513","737","","الصيانة من قبل الشركات","true"
"500","45","Single Short Term Entry Visit Permit (Festival/Fairs/Conference/Symposium)","إذن دخول زيارة قصيرة لسفرة واحدة(مهرجان/معارض/مؤتمر/ندوة)","true"
"471","809","-","إسترجاع رسوم إيصالات البنك وشركة إماراتك","true"
"838","1234","Long term visit entry permit for one journey of work or leisure","أذن دخول زيارة طويلة لسفرة واحدة عمل أو ترفيه","true"
"471","183","Canceling a category and retrieve security amount","إلغاء فئة من الفئات واسترجاع الضمان.","true"
"495","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"471","1271","Renewal of establishment card for national companies benefiting from the SME support programme","تجديد بطاقه منشأه للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"478","737","","الصيانة من قبل الشركات","true"
"508","152","","ترك عبور بحار من الميناء إلى المطار.","true"
"513","184","Stopping a establishment card.","إيقاف بطاقة المنشأة.","true"
"535","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"513","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"493","1201","","إطلاق الاستبيانات المتعلقة بالموارد البشرية وتحليلها ورفع التوصيات المناسبة  [خارجي المجلس التنفيذي]","true"
"471","122","Request to separate the family book (Who crossed 30 years)","طلب فصل قيد (من تجاوز 30 عام )","true"
"514","172","Renewal of the establishment card of a private sector or free zone","تجديد بطاقة منشأة لمؤسسات القطاع الخاص او المنطقه الحره","true"
"838","1263","","اصدار بطاقه منشأه (لمؤسسات القطاع الحكومي)","true"
"472","159","","كشف حركة المسافرين عبر بوابة الامارات","true"
"494","821","","استلام وتحويل الإقتراحات .","true"
"478","1243","-Employment visa for supporting servant category for partner or investor","اذن دخول عمل لفئة عمال الخدمة المساعدة  لشريك او مستثمر","true"
"471","1306","Renewal of PRO card for private sector or free zone","تجديد بطاقة مندوب لجهة قطاع خاص او المنطقة الحرة","true"
"535","181","Modification of PRO card","تعديل بيانات بطاقة مندوب","true"
"471","1352","","عقد اتفاقية شراكة برغبة من الجهة الخارجية","true"
"838","232","Request for issuing exit permit for newborn babies","طلب إصدار تصريح مغادرة لحديثي الولادة.","true"
"503","487","","دخول حاملي إذن دخول ( إقامة ، عمل ، عمل هجرة) عبر منفذ حتا البري","true"
"501","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"499","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"495","821","","استلام وتحويل الإقتراحات .","true"
"514","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"471","106","Adding a newborn (outside the state).","إضافة مولود (خارج الدولة).","true"
"481","1301","","بطاقة مندوب لجهة قطاع خاص او المنطقه الحره","true"
"471","50","Entry Permit For Training Studying Or Rehabilitation Or Similar Purpose","اذن دخول للدراسةأو للتدريب والتأهيل وما في حكمها","true"
"471","1217","Single Short Tourist Visit Visa","إذن دخول زيارة قصيرة سياحية سفره واحده","true"
"512","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"503","556","","دخول حامل إذن دخول (عدة  سفرات) صادرة عن الإدارة عبر منفذ حتا البري","true"
"490","232","Request for issuing exit permit for newborn babies","طلب إصدار تصريح مغادرة لحديثي الولادة.","true"
"535","737","","الصيانة من قبل الشركات","true"
"496","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"495","3","Short Term Visit Visa For 30 Days Under The Sponsorship Of (Companies).","اصدار اذن زيارة  قصيرة لمدة 30 يوم لمكفولي (الشركات).","true"
"535","243","Request for issuing an exit permit for escorts on entry permits.","طلب إصدار تصريح مغادرة للمرافقين على أذونات الدخول.","true"
"471","175","Issuance of an additional copy of the establishment card.","إصدار نسخة إضافية من بطاقة المنشأة.","true"
"516","1264","","تجديد بطاقة المنشأه لمؤسسات القطاع الحكومي","true"
"484","184","Stopping a establishment card.","إيقاف بطاقة المنشأة.","true"
"476","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"500","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"531","80","Renewal of work residence","تجديد إقامة عمل","true"
"492","3","Short Term Visit Visa For 30 Days Under The Sponsorship Of (Companies).","اصدار اذن زيارة  قصيرة لمدة 30 يوم لمكفولي (الشركات).","true"
"481","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"497","27","Issuance of employment entry permit- Domestic Helpers Category and alike for the UAE Female citizens.","إصدار إذن دخول عمل - للفئات المساعدة ومن في حكمهم للمواطنات.","true"
"478","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"504","27","Issuance of employment entry permit- Domestic Helpers Category and alike for the UAE Female citizens.","إصدار إذن دخول عمل - للفئات المساعدة ومن في حكمهم للمواطنات.","true"
"471","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"493","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"515","709","Inspection campaigns","الحملات التفتيشية","true"
"481","104","Status Modification","تعديل وضع","true"
"472","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"502","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"471","789","Cancelling of the validity of the work entry permits which were issued by the default management system On-Line.","إلغاء صلاحية أذونات الدخول عمل الصادرة عن طريق الادارة الافتراضية نظام الـ On-Line","true"
"838","1301","","بطاقة مندوب لجهة قطاع خاص او المنطقه الحره","true"
"531","104","Status Modification","تعديل وضع","true"
"508","737","","الصيانة من قبل الشركات","true"
"480","80","Renewal of work residence","تجديد إقامة عمل","true"
"535","104","Status Modification","تعديل وضع","true"
"471","83","Adding a newborn (within the state)","إضافة مولود جديد (داخل  الدولة)","true"
"471","1234","Long term visit entry permit for one journey of work or leisure","أذن دخول زيارة طويلة لسفرة واحدة عمل أو ترفيه","true"
"480","1307","Renewal of PRO card for UAE or GCC citizens","تجديد بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"835","232","Request for issuing exit permit for newborn babies","طلب إصدار تصريح مغادرة لحديثي الولادة.","true"
"471","1307","Renewal of PRO card for UAE or GCC citizens","تجديد بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"493","27","Issuance of employment entry permit- Domestic Helpers Category and alike for the UAE Female citizens.","إصدار إذن دخول عمل - للفئات المساعدة ومن في حكمهم للمواطنات.","true"
"535","1234","Long term visit entry permit for one journey of work or leisure","أذن دخول زيارة طويلة لسفرة واحدة عمل أو ترفيه","true"
"498","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"472","27","Issuance of employment entry permit- Domestic Helpers Category and alike for the UAE Female citizens.","إصدار إذن دخول عمل - للفئات المساعدة ومن في حكمهم للمواطنات.","true"
"535","80","Renewal of work residence","تجديد إقامة عمل","true"
"838","1273","Renewal of PRO card for government sector","بطاقة مندوب لجهة قطاع حكومي","true"
"490","33","-","إصدار إذن دخول عمل -  للفئات المساعدة ومن في حكمهم على كفالة مواطني دول مجلس التعاون الخليجي","true"
"507","104","Status Modification","تعديل وضع","true"
"471","119","Request electronic passport renewal.","طلب تجديد جواز السفر الإلكتروني.","true"
"497","1216","Multiple Short Visit Visa For (Festival/Fairs/Conference/Symposium)","إذن دخول زيارة قصيرة لعدة سفرات(مهرجان/معارض/مؤتمر/ندوة)","true"
"531","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"480","1264","","تجديد بطاقة المنشأه لمؤسسات القطاع الحكومي","true"
"513","1305","Renewal of PRO card for national companies recipient of SME support programme","تجديد بطاقة مندوب للشركات الوطنية المستفيدة من برنامج دعم المشاريع الصغيره","true"
"496","1212","Multi Short Term Visit Visa - For Work Or Entertainment","إذن دخول زيارة قصيرة لعدة سفرات - عمل أو ترفية","true"
"512","1263","","اصدار بطاقه منشأه (لمؤسسات القطاع الحكومي)","true"
"504","241","Sponsorship by  GCC nationals to husband or foreigner wife and children","كفالة مواطني دول مجلس التعاون الخليجي للزوج أو الزوجة الأجنبية والأبناء","true"
"480","1313","Replacement of PRO Card","بدل تالف لبطاقة مندوب","true"
"497","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"480","232","Request for issuing exit permit for newborn babies","طلب إصدار تصريح مغادرة لحديثي الولادة.","true"
"515","1299","Stop search of a sponsored one by a sponsor from the government agencies","كف البحث عن مكفول لكفيل من الجهات الحكومية","true"
"493","1303","","بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"481","1313","Replacement of PRO Card","بدل تالف لبطاقة مندوب","true"
"476","1284","Stop search of one sponsored by private sector (After cancelling the labour card)","كف البحث عن مكفول لكفيل من الجهات الخاصة ( بعد الغاء بطاقة العمل)","true"
"480","179","Renewal of PRO card for government sector entity","تجديد بطاقة مندوب لجهة قطاع حكومي","true"
"514","1234","Long term visit entry permit for one journey of work or leisure","أذن دخول زيارة طويلة لسفرة واحدة عمل أو ترفيه","true"
"480","244","Request to issue permit of exit for  people under the entry permit sponsorship (Visits) after the case is finished.","طلب إصدار تصريح مغادرة لمكفولي أذن دخول (زيارات) بعد إنتهاء القضية مخالف  .","true"
