"professionid","professiondescen","professiondescar"
"1133208","IT SUPPORT ADMINISTRATOR","اداري دعم تقنية المعلومات"
"1133209","NETWORK ADMINISTRATOR","اداري شبكات"
"1133210","JUNIOR NETWORKS ADMINISTRATOR","اداري شبكات ثاني"
"1133211","COMPUTER NETWORK TECHNICIAN","فنى شبكه حاسب الى"
"1133212","IT. TECHNICAL SUPPORT","موظف دعم فني"
"1133213","SENIOR NETWORKS ENGINEER","مهندس اول شبكات"
"1133214","MANAGER CONTACT CENTER","مدير مركز الاتصال"
"1133215","SENIOR OFFICER TECHNICAL DEVELOPMENT","ضابط اول التطوير الفني"
"1133216","SR ENGINEER TECHNICAL SERVICES","مهندس اول الخدمات الفنيه"
"1133217","ENGINEER TECHNICAL SERVICES","مهندس الخدمات الفنيه"
"1133221","COMPUTER SYSTEMS INCHARGE","مسؤول نظم حاسب الى"
"1133230","CHIEF SUPERVISOR / OPERATION","رئيس مشرفى العمليات"
"1133231","OPERATIONS SUPERVISOR","مشرف عمليات"
"1133232","SUPERVISOR ASSISTANT","مساعد مشرف عمليات"
"1133233","OPERATIONS ASSISTANT","مساعد عمليات"
"1133241","DESKTOP SUPPORT OFFICER","ضابط دعم حاسب شخصى"
"1133251","DESKTOP SUPPORT TECHNICIAN","فنى دعم حاسب شخصى"
"1133261","COMPUTER INSTRUCTOR","مدرب حاسب الى"
"1133271","INFORMATION SYSTEMS OFFICER","ضابط نظم المعلومات"
"1133272","SYSTEM ADMINISTRATOR","مشغل أنظمة كومبيوتر"
"1133281","COMPUTER APPLICATION INCHARGE","مسؤول تطبيقات حاسب الى"
"1133290","BUSINESS CONTINUITY OFFICER","ضابط استمرارية العمل"
"1133291","APPLICATION SUPPORT OFFICER","ضابط دعم تطبيقات حاسب الى"
"1133292","APPLICATION SUPPORT OFFICER ASSISTANCE","مساعد ضابط دعم تطبيقات حاسب الى"
"1133294","OPERATION SUPPORT OFFICER","ضابط دعم عمليات"
"1133301","INFORMATION TECHNOLOGY OFFICER","ضابط تقنيه معلومات"
"1133302","IT STANDARDS OFFICER","ضابط معايير تقنية المعلومات"
"1133311","HELPDESK OFFICER","ضابط مكتب الدعم"
"1133312","IT HELPDESK COORDINATOR","منسق مكتب المساعدة التقنية"
"1133313","SHIFT OPERATOR","مشغل ورديات"
"1133314","SR.OFFICER FOLLOW UP AND SUPPORT","ضابط اول المتابعه والدعم"
"1133315","OFFICER FOLLOW UP AND SUPPORT","ضابط المتابعه والدعم"
"1133321","HELPDESK OPERATOR","مشغل مكتب الدعم"
"1133326","WEB PUBLISHER","منفذ انترنت"
"1133327","DESIGNER","مصمم"
"1133328","WEB DESIGNER","مصمم مواقع"
"1133329","SENIOR WEB DESIGNER","مصمم مواقع اول"
"1133330","NETWORKING SPECIALIST","اختصاصي شبكات"
"1133331","COMPUTER SYSTEMS CHECKER","مدقق نظم حاسب الى"
"1133332","WEBMASTER","مصمم الصفحات الالكترونية"
"1133333","WEB DEVELOPER","مطور مواقع شبكات"
"1133334","WEB MASTER","مسؤول صفحة الانترنت"
"1133335","LIBRARY  LEARNING RESOURCES ADMIN","مسئول المكتبة وموارد التعلم"
"1133336","REGISTRATION  ADMISSION OFFICER","مسئول القبول والتسجيل"
"1133337","SPECIALIST - ADMISSION","اخصائي قبول"
"1133338","CONTENT DEVELOPER","مطور محتويات"
"1133339","COMPLIANCE EXECUTIVE","تنفيذي المتابعه وضمان الجودة"
"1133340","SYSTEM QUALITY CONTROL SPECIALIST","اخصائى انظمه الجوده"
"1133341","DEVELOPMENT OPERATION SPECIALIST","اخصائي تطوير العمليات المؤسسية"
"1133342","ADMIN.DEVELOPMENT SPECIALIST","اخصائي تطوير اداري"
"1133343","SPECIALIST QUALITY AND EXCELLENCE","اخصائي جوده وتميز"
"1133344","FIELD OPERATOR","مشغل المواقع"
"1133345","SPECIALIST OPERATIONS MANAGEMENT","اخصائي ادارة العمليات"
"1133346","SENIOR SPECIALIST OPERATIONS MANAGEMENT","اخصائي اول ادارة العمليات"
"1133347","SENIOR SPECIALIST QUALITY AND EXCELLENCE","اخصائي اول جودة وتميز"
"1133348","UI DESIGNER","مصمم واجهة المستخدم"
"1133349","SOFTWARE SUPPORT LEAD","قائد دعم البرمجيات"
"1133350","NET WORK OFFICER","ضابط الشبكات"
"1133351","NETWORK SUPPORT INCHARGE OFFICER","ضابط دعم شبكات حاسوب"
"1133352","WEB EDITOR","محرر انترنت"
"1133353","WEB DESIGNERDEVELOPER","مصمم موقع الكتروني"
"1133354","SMS DEVELOPER","مطور رسائل نصيه"
"1133355","SR SOFTWARE SUPPORT ENGINEER","مهندس اول دعم البرمجيات"
"1133356","SOFTWARE SUPPORT ENGINEER","مهندس دعم البرمجيات"
"1133371","SENIOR SPECIALIST BI","اخصائى اول ذكاء أعمال"
"1200000","PROFESSIONAL IN APPLIED SCE","الاختصاصيون فى العلوم التطبيقيه"
"1210000","PROFESSIONALS ENGINEERING SCE","الاختصاصيون فى العلوم الهندسيه"
"1210001","ENGINEER","مهندس"
"1210002","SENIOR ENGINEER","مهندس اول"
"1210003","ASSISTANT ENGINEER","مساعد مهندس"
"1210010","ENGINEER DESIGNER","رسام هندسى"
"1211000","ARCHITECTURAL ENGINEERS","المهندسون المعماريون"
"1211001","CONSULTANT ENGINEER","مهندس استشارى"
"1211002","ENG","مستشار هندسي"
"1211011","ARCHITECT","مهندس معمارى"
"1211012","STRUCHURE ENGINEER","مهندس انشائى"
"1211021","LANDSCAPE ARCHITECT","مهندس تنسيق مواقع"
"1211031","URBAN PLANNING ENGINEER","مهندس تخطيط مدن"
"1211035","PLANNING ENGINEER","مهندس تخطيط"
"1211041","INTERIOR DESIGN ENGINEER","مهندس تصميم داخلى ديكور"
"1211042","SR.BUSINESS ARCHITECT","مصمم اول تصميم الاعمال"
"1211043","BUSINESS ARCHITECT","مصمم تصميم الاعمال"
"1211044","SOLUTION ARCHITECT","مصمم حلول الاكترونيه"
"1211045","INFORMATION ARCHITECT","مصمم معلومات"
"1211046","IT ARCHITECT","مصمم تقنية معلومات"
"1211047","INFRASTRUCTURE ARCHITECT","مصمم بنية تحتية الكترونيه"
"1211048","SECURITY ARCHITECT","مصمم امن معلومات"
"1211051","INTERIOR DESIGNER","مصمم ديكور"
"1211061","DECORATION TECHNICIAN ELECT","فنى ديكور كهربائى"
"1212000","CIVIL AND SURVERY ENGINEERS","المهندسون المدنيون والمساحه"
"1212011","PROJECT ENGINEER","مهندس مشروع"
"1212015","CIVIL ENGINEER","مهندس مدنى"
"1212016","SENIOR CIVIL ENGINEER","مهندس مدنى اول"
"1212021","CIVIL ENGINEER / BUILDINGS","مهندس مدنى / ابنيه"
"1212031","CIVIL ENGINEER / METAL CONSTR","مهندس مدنى / انشاءات معدنيه"
"1212041","CIVIL ENGINEER/ HIGHWAYS ROADS","مهندس مدنى / طرق"
"1212051","CIVIL ENGINEER / BRIDGES","مهندس مدنى / جسور"
"1212061","CIVIL ENGINEER / AIRPORTS","مهندس مدنى / مطارات"
"1212071","CIVIL ENGINEER / PORTS","مهندس مدني/ موانئ"
"1212081","CIVIL ENGINEER / RAILWAYS","مهندس مدنى / سكك حديديه"
"1212091","CIVIL ENGINEER / DAMS","مهندس مدنى / سدود"
"1212101","CIVIL ENGINEER IRRIGATION","مهندس مدنى / رى"
"1212111","TRAFFIC ENGINEER","مهندس مرور"
"1212115","TRAFFIC ENGINEERING TECHNICIAN","فنى هندسه مرور"
"1212121","SOIL MECHANICS ENGINEER","مهندس ميكانيكا التربه"
"1212131","GENERAL SURVEY ENGINEER","مهندس مساحه"
"1212141","AIR SURVEY ENGINEER","مهندس مساحه / جويه"
"1212151","SEA SURVEY ENGINEER","مهندس مساحه / بحريه"
"1213000","ELECTRICAL ENGINEER","المهندسون الكهربائيون"
"1213011","GENERAL ELECTRICAL ENGINEER","مهندس كهربائى عام"
"1213021","ELECTRIC POWER GENERATION ENGR","مهندس كهربائى توليد"
"1213031","POWER DIST AND TRANS ENGR","مهندس كهربائى / نقل وتوزيع"
"1213041","POWER TRANSMISSION ENGINEER","مهندس كهربائى / نقل"
"1213051","POWER DISTRIBUTION ENGINEER","مهندس كهربائى / توزيع"
"1213061","ELECTRICAL LINES ENGINEER","مهندس كهربائى / تمديدات"
"1213071","ELECTRICAL MAINTENANCE ENGINER","مهندس كهربائى / صيانه"
"1213081","ELECT ENGR PRECISION INSTRU","مهندس كهربائى / اجهزه دقيقه"
"1213091","ELECTRICAL ENGR MONITOR CTRL","مهندس كهربائى / مراقبه وتحكم"
"1214000","Electronics Engineer","مهندس إلكترونيات"
"1214001","TRANSMITION TECHNETION","فنى ارسال"
"1214002","DIRECTOR OF INNOVATION PROJECTS","مدير مشاريع الابتكار"
"1214003","CHIEF TECHNICIAN /TRANSMISSION","رئيس فنيى الارسال"
"1214004","CHIEF OF INNOVATION","رئيس الابتكار"
"1214005","SENIOR TRANSMITION TECHNETION","فنى ارسال اول"
"1214006","SR.MANAGER PROJECT PLANNING ANDDEVELOPMENT","مدير اول قسم - تخطيط المشاريع والتطوير"
"1214011","GENERAL ELECTRONICS ENGINEER","مهندس اليكترونيات عام"
"1214012","ELECTRO MECHANICAL ENGINEER","مهندس الكتروميكانيك"
"1214021","RADIO AND TELEVISION ENGINEER","مهندس اذاعه وتلفزويون"
"1214031","TRANSMISSION ENGINEER","مهندس بث وارسال"
"1214039","AGENT CONTACT CENTER","وكيل مركز الاتصال"
"1214040","SUPERVISOR CONTACT CENTER","مشرف مركز الاتصال"
"1214041","TELECOMMUNICATIONS ENGINEER","مهندس اتصالات"
"1214042","SNR.COMMUNICATIONS CONSULTANT","استشاري اتصالات اول"
"1214043","SPECIALIST TELECOMS","اختصاصي اتصالات"
"1214044","COMMUNICATIONS ASSISTANT","مساعد اتصالات"
"1214045","CENRTRAL ENGINEER","مهندس سنترالات"
"1214051","ELECT ENGR MEDICAL INSTRUMENTS","مهندس اليكترونى / اجهزه طبيه"
"1214061","COMPUTER ENGINEER","مهندس كمبيوتر"
"1214062","COMPUTER MAINTENANCE ENGINEER","مهندس صيانة حاسب آلي"
"1214071","ELECTRONICS ENGR MAINTENANCE","مهندس اليكترونى / صيانه"
"1214079","RADIO ENGINEER","مهندس راديو"
"1214081","AIRPLANES RADIO AND RADAR ENGR","مهندس راديو ورادار طائرات"
"1214089","MAINTENANCE ASST-ENGINEERING SERVICES","مساعد صيانه الخدمات الهندسيه"
"1214090","CHIEF ENGINEER MAINTENANCE","مهندس صيانه رئيسي"
"1214091","COMPUTER MAINTENANCE ASST","مساعد صيانه كمبيوتر"
"1214201","TECHNICAL SUPERVISOR","مشرف تقني"
"1215000","MECHANICAL ENGINEERS","المهندسون الميكانيكيون"
"1215011","GENERAL MECHANICAL PRODUCT ENG","مهندس ميكانيكى انتاج/ عام"
"1215021","MECHANICAL ENGINEER PRODUCTION","مهندس ميكانيكى / انتاج"
"1215031","MECHANICAL ENGINEER CASTING","مهندس ميكانيكى / سكب"
"1215041","MECHANICAL ENGINEER WELDING","مهندس ميكانيكى / لحام"
"1215042","MEP ENGINEER","مهندس ميكانيكي، صحي،كهربائي"
"1215051","MECHANICAL ENGINEER CENTRAL AC","مهندس ميكانيكي تكييف مركزي"
"1215052","AIR-CONDITIONING ENGINEER","مهندس تكييف"
"1215061","MECHANICAL ENGR GEN MAINTENANC","مهندس ميكانيكى / صيانه عامه"
"1215071","MECHANICAL ENGINEER HYDRAULICS","مهندس ميكانيكى موائع"
"1215081","MECHANICAL ENGINEER AUTOMOTIVE","مهندس ميكانيكى / مركبات"
"1215091","MECHANICAL ENGR ROAD MACHINERY","مهندس ميكانيكى / اليات طرق"
"1215101","MECHANICAL ENGR TRAIN MAINT","مهندس ميكانيكى / صيانه قطارات"
"1215111","MECHANICAL ENGR AIRPLANE MAINT","مهندس ميكانيكى / صيانه طائرات"
"1215113","AIRCRAFT ENGINEER","مهندس طيران"
"1215121","MECHANICAL ENGR SHIPS MAINT","مهندس ميكانيكى / صيانه سفن"
"1215131","AGRICULTURAL MACHINERY ENGR","مهندس الات زراعيه"
"1215141","NUCLEAR POWER ENGINEER","مهندس طاقه نوويه"
"1215151","MECHANICAL EQUIPMENT ENGINEER","مهندس ميكانيكى / الات / معدات"
"1215161","MECHANICAL ENGR/ELECT PWR EQUP","مهندس ميكانيكى الات قوىكهربائيه"
"1215171","MECHANICAL ENGINEER","مهندس ميكانيكى"
"1215181","BOILER ENGINEER","مهندس غلايات"
"1215191","PLANT ENGINEER","مهندس مصنع"
"1216000","CHEMICAL ENGINEERS","المهندسون الكيميائيون"
"1216011","CHEMICAL ENGINEER GENERAL","مهندس كيميائى عام"
"1216021","CHEMICAL ENGR/ RESCH AND DEVPT","مهندس كيميائى / بحث وتطوير"
"1216031","CHEMICAL ENGINEER / PETROLEUM","مهندس كيميائى /صناعات نفطيه"
"1216041","CHEMICAL ENGINEER/ FERTILIZERS","مهندس كيميائى / صناعات اسمده"
"1216051","CHEMICAL ENGR/ FOOD INDUSTRIES","مهندس كيميائى / صناعات غذائيه"
"1217000","MINES AND MINING ENGINEERS","مهندسو المناجم والتعدين"
"1217011","GEOLOGICAL ENGINEER","مهندس جيولوجى"
"1217021","MINING ENGINEER","مهندس تعدين"
"1217031","PETROLEUM ENGINEER","مهندس نفط"
"1217041","WELL DRILLING ENGINEER","مهندس حفر ابار"
"1217051","EXPLOSIVES ENGINEER","مهندس تفجير"
"1218000","INDUSTRIAL ENGINEERS","المهندسون الصناعيون"
"1218011","INDUSTRIAL ENGINEER GENERAL","مهندس صناعى عام"
"1218021","FACTORY PLANNING ENGINEER","مهندس تخطيط مصانع"
"1218031","INDUSTRIAL EQUIPT INSTA ENGR","مهندس تركيب معدات صناعيه"
"1218041","MANUFACTURING ENGINEER","مهندس تصنيع"
"1218051","OCCUPATIONAL HLT AND SAFTY ENG","مهندس صحه والسلامه المهنيه"
"1218061","HANDLING ENGINEER","مهندس مناوله مواد"
"1218071","DEVPT AND SPECIFICATION ENGR","مهندس تطوير ومواصفات"
"1218081","QUALITY CONTROL ENGINEER","مهندس مراقبه جوده"
"1218091","MATERIAL ENGINEER","مهندس مواد"
"1218093","MATERIAL SUPERVISOR","مسئول مواد"
"1218095","MATERIALS ASSISTANT","مساعد مواد"
"1218101","TIME AND MOVEMENT STUDY ENG","مهندس دراسه الوقت والحركه"
"1218111","QUALITY ENGINEER","مهندس نوعيه"
"1218121","TECHNICAL ENGINEER","مهندس فنى"
"1218201","RESEARCH AND DEVELOPMENT OFFICER","ضابط البحوث والتطوير"
"1218202","OFFICER RESEARCH STRATEGY","ضابط البحوث الاستراتيجيه"
"1218203","RESEARCH SPECIALIST STRATEGY","اخصائي البحوث الاستراتيجيه"
"1218204","SENIOR OFFICER STRATEGY RESEARCH","ضابط اول - البحوث الاستراتيجيه"
"1218205","STRATEGY PLANNING ADVISOR","مستشار التخطيط الاستراتيجي"
"1218206","STRATEGY PLANNING ANALYST","محلل - التخطيط الاستراتيجي"
"1218207","STRATEGY ADMINISTRATOR","اداري - استراتيجي"
"1219000","HEALTH AND ENVIROMENT ENGINEER","مهندسو الصحه والبيئه"
"1219011","HEALTH ENG WATER AND DRAINAGE","مهندس صحى / مياه ومجارى"
"1219017","ENVIRONMENT AND PUPLIC HEALTH SPECIALIST","اخصائي بيئه وصحه عامه"
"1219021","ENVIROMENT ENGINEER","مهندس بيئه"
"1219022","SENIOR VICE PRESIDENT","نائب رئيس أول"
"1219023","ENVIRONMENT HEALTHSAFETYANDQUALITY MANAGER","مدير البيئه الصحه السلامه والجوده"
"1219024","HR OPERATIONS MANAGER","مدير عمليات الموارد البشريه"
"1219025","NETWORK OPERATIONS MANAGER","مدير عمليات الشبكه"
"1219026","IT OPERATION MANAGER","مدير عمليات تقنيه المعلومات"
"1219027","DIGITAL SALES MANAGER","مدير  المبيعات الرقميه"
"1219028","SEARCH ENGINE OPTIMIZATION MANAGER","مدير تقنيه محرك البحث"
"1220000","PROFESSIONALS IN AGRICULTURE","الاختصاصيون فى العلوم الزراعيه"
"1221000","PROFESSIONAL IN FIELD CROPS","الاختصاصيون فى المحاصيل الحقليه"
"1221011","SPECIALIST IN FIELD CROPS GEN","اختصاصى محاصيل حقليه"
"1221021","SPECIALIST IN SHELTERED AGRI","اختصاصى زراعه محميه"
"1221031","SPECIALIST IN AGR GUIDANCE","اختصاصى ارشاد زراعى"
"1221041","SPECIALIST IN AGR AND DISEASES","اختصاصى افات زراعيه"
"1221050","SENIOR AGRICULTURAL ENGINEER","مهندس زراعي اول"
"1221051","AGRICULTURE ENGINEER","مهندس زراعى"
"1222000","PROF HORTICULTURE AND FORESTRY","اختصاصيو البستنه والغابات"
"1222011","SPECIALIST IN HORTICULTURE GEN","اختصاصى بستنه"
"1222021","SPECIALIST IN PARKS","اختصاصى حدائق"
"1222031","SPEC FORESTRY AND GRAZING LAND","اختصاصى احراج ومراعى"
"1223000","PROF IN ANIMAL HUSBANDRY AGR","الاختصاصيون فى تربيه الحيوانات"
"2512011","SATELLITE CO-ORDINATOR","منسق اخبار عبر الاقمار الصناعيه"
"2512012","SOUND TECHNICIAN","فنى صوت"
"2512013","AUTOCUE SUPERVISOR","مسؤول جهاز التلقين الذاتي"
"2512015","RECORDING SOUND TECHNICIAN","فنى تسجيلات صوتيه"
"2512022","LIGHT TECHNICIAN","فنى اضاءه"
"2512032","DECORATION TECHNICIAN TV","فنى ديكور"
"2512035","DECORATION TECHNICIAN/INTERIOR","فنى ديكور داخلى"
"2512041","CAMERAMAN","مصور"
"2512042","TELEVISION PHOTOGRAPHER","مصور تلفزيونى"
"2512043","JUNIOR PHOTOGRAPHER","مصور ثاني"
"2512044","TELEVISION PHOTOGRAPHER ASSISTANT","مساعد مصور تلفزيونى"
"2512045","NEWS ROOM ASSISTANT","مساعد غرفة الاخبار"
"2512051","PRE PRESS COORDINATOR","منسق ما قبل الانتاج"
"2512052","PRESS PHOTOGRAPHER","مصور صحفى"
"2512062","MAKE UP TECHNICIAN","فنى تجميل"
"2512063","GRAPHICS OPERATOR","مشغل جرافيكس"
"2512064","CHIEF GRAPHIC DESIGNER","مصمم جرافيك رئيسي"
"2512072","DECOR DESIGNER","مصمم ديكور"
"2512082","VIDEO EDITOR","فنى مونتاج"
"2520000","CIRCUS TECHNICIANS","فنيو السيرك"
"2521000","CIRCUS WORKERS","العاملون فى السيرك"
"2521012","CLOWN","مهرج"
"2521022","CIRCUS PERFORMER","لاعب سيرك"
"2521032","MAGICIAN","ساحر"
"2521101","DISTRIBUTOR","موزع"
"2600000","ECNOMC FINAN ACUNT SCE TEC","فنيو العلوم الاقتصاديه والمال"
"2610000","ECONOMIC FINANCIAL AFFAIR TEC","فنيو الشؤون الاقتصاديه والماليه"
"2611000","ECMOMIC FINAN AFFAIR WORKERS","العاملون فى الاقتصاد والمال"
"2611012","BANK NOTES TECHNICIAN","فنى اوراق ماليه"
"2611022","FOREIGN CURRENCY TRADER","متعامل بالقطع الاجنبى"
"2611032","TRANSFERRERS RESPONSIBLE","مسؤول حوالات"
"2620000","ACCOUNTING TECHNICIANS","فنيو العلوم المحاسبيه"
"2621000","ACCOUNTING TECHNICIANS","فنيو الحسابات"
"2621012","ACCOUNTING CLERK / GENERAL","كاتب حسابات/فنى حسابات"
"2621022","AUDITING CLERK","كاتب /موظف تدقيق حسابات"
"2621032","COST ACCOUNTS CLERK","كاتب / حسابات كلفه"
"2622000","BANK TELLERS","صرافو البنوك"
"2622012","BANK NOTES AND MONEY CHANGER","صراف أوراق مالية وعملة"
"2622020","CLIENTS SERVICE REPRESENTATIVE","مندوب خدمة العملاء"
"2622022","BANK TELLER","صراف بنك"
"2630000","SECRETARIES AND SHORTHAND CLRK","السكرتاريون والمختزلون"
"2631000","SECRETARIES","السكرتيرون"
"2631009","ADMINISTRATIVE SECRETARY","سكرتير اداري"
"2631010","SENIOR EXECUTIVE SECRETARY","سكرتير تنفيذي اول"
"2631012","EXECUTIVE SECRETARY","سكرتير تنفيذى"
"2631013","COORDINATOR","منسق"
"2631014","SECRETARY","سكرتيره"
"2631015","CHIEF SECRETARY","سكرتير رئيسي"
"2631016","MEDICAL SECRETARY","سكرتير طبي"
"2631022","RAPPORTEUR","مقرر اجتماعات"
"2631032","ADMINISTRATION COUNCEL SECRETARY","امين سر مجلس اداره"
"2631042","O.M.(!)","مد.مك."
"2631101","H.H.CROWN PRINCE SEC.","سكرتير سمو ولى العهد"
"2632000","SHORT HAND CLERKS","المختزلون"
"2632012","SHORT HAND TECHNICIAN","فنى اختزال"
"3000000","CLERICAL SUPERVISORS","مشرفو الاعمال الكتابيه"
"3000001","ADMINISTRATOR / GENERAL","ادارى عام"
"3000002","ADMINISTRATIVE ASSISTANT","مساعد اداري"
"3000021","ACADEMIC ADMINISTRATOR","ادارى الشؤون اكاديميه"
"3000031","DIRECTOR OF ACADEMIC","مدير الشؤون اكاديميه"
"3000032","SENIOR ADMINISTRATIVE","اداري اول"
"3000079","OFFICER CORPORATE SOCIAL RESPONSIBILITY","ضابط المبادرات المجتمعيه"
"3000080","EXPERT CORPORATE SOCIAL RESPONSIBILITY","خبير المبادرات المجتمعيه"
"3000081","ADMIN EXPERT","خبير ادارى"
"3001012","OFFICE WORKS SUPERVISOR","مشرف اعمال مكتبيه"
"3001013","OFFICE ASSISTANT","مساعد اعمال مكتبيه"
"3001016","SR.OFFICER PASSENGER RELATIONS","ضابط اول علاقات المسافرين"
"3001017","OFFICER PASSENGER RELATIONS","ضابط علاقات المسافرين"
"3001018","PUBLIC RELATIONS SUPERVISOR","مشرف علاقات عامة"
"3001019","CHIEF PRO","كبير مشرفى العلاقات العامه"
"3001021","ADMINISTRATIVE SUPERVISOR ASSISTANT","مساعد مشرف ادارى"
"3001022","ADMINISTRATIVE SUPERVISOR","مشرف ادارى"
"3001023","ADMINISTRATIVE INSPECTOR","مفتش ادارى"
"3001024","ADMINISTRATIVE ASSISTANT","مساعد ادارى"
"3001025","ADMINISTRATIVE INCHARGE","مسؤول ادارى"
"3001032","TRAFFIC OFFICER","ضابط حركه بالمطار"
"3001041","CONTRACTS OFFICER / EXECUTIVE","ضابط عقود"
"3001042","CONTRACTS EXECUTIVE","تنفيذي عقود"
"3001043","CONTRACT ENGINEER","مهندس عقود"
"3001062","HEAD OF SECTION","رئيس قسم"
"3001070","PLANNING ASSISTANT","مساعد تخطيط"
"3001072","BANK OFFICER","ضابط بنك"
"3001082","PUBLIC RELATION OFFICER","ضابط علاقات عامه"
"3001084","PLANNING OFFICER","ضابط تخطيط"
"3001090","PLANNING SUPERVISOR","مشرف تخطيط"
"3001092","ADMINISTRATIVE OFFICER","ضابط ادارى"
"3001093","ADMINISTRATION OFFICER TRAINEE","ضابط اداري - تحت التدريب"
"3001094","ASSISTANT ADMIN OFFICER","مساعد ضابط ادارى"
"3001095","ADMINISTRATIVE SUPERINTENDENT","ملاحظ ادارى"
"3001096","ASST ADMIN SUPERINTENDENT","مساعد ملاحظ ادارى"
"3001111","PERSONNEL SPECIALIST","اخصائى شؤون الافراد"
"3001121","ADMINISTRATIVE TRAINING SUPERINTENDENT","محظ تدريب اداريه"
"3001201","DEVELOPMENT OFFICER","ضابط تطوير"
"3001211","EQUIPING OFFICER","ضابط تجهيزات"
"3001311","PLANNING SUPERINTENDENT","ملاحظ تخطيط"
"3002101","COORDINATING OFFICER","ضابط تنظيم و اساليب"
"3003101","PLANNING COORDINATOR","منسق تخطيط"
"3003102","LICENSE COORDINATOR","منسق التراخيص"
"3003103","LICENSING SPECIALIST","اختصاصي تراخيص"
"3003104","TRAINING INSTITUTES LICENSING CORDINATOR","منسق تراخيص معاهد التدريب"
"3003105","REGISTRATION AND LICENSING SPECIALIST","اختصاصي تراخيص وتسجيل"
"3004101","PUBLIC INFORMATION COORDINATOR","منسق معلومات جمهور"
"3100000","ADMINISTRATIVE CLERICAL OCUP","المهن الكتابيه الاداريه"
"3100010","DOCUMENT SCANNING CLERK","فاحص مستندات"
"3110000","GOVERNMENT CLERICAL OCCUPATION","المهن الكتابيه الحكوميه"
"3111000","CIVIL REGISTERS CLERKS","كتبه الاحوال المدنيه"
"3111013","CIVIL REGISTERS CLERK","كاتب احوال مدنيه عام"
"3111014","CLERK DISPATCHING","كاتب ايفاد"
"3111023","IDENTITY DOCUMENTS CLERK","كاتب وثائق اثبات الشخصيه"
"3111034","BIRTHS REGISTRAR","كاتب تسجيل مواليد"
"3111044","DEATHS REGISTRAR","كاتب تسجيل وفيات"
"3111053","NATIONALITY CLERK","كاتب جنسيه"
"3111501","RECORDS OFFICER","مسؤول سجلات"
"3111502","ASSISTANT RECORD KEEPER","مساعد حافظ سجل"
"3111509","PRINSIPAL INSPECTOR","مفتش رئيسي"
"3111510","SENIOR AUDITOR","مدقق رئيسي"
"3111511","CHECKER","مدقق"
"3111512","HEAD CHECKER","رئيس مدققين"
"1612011","ECONOMICS SPECIALIST","اختصاصى علوم اقتصاديه"
"1612021","ECONOMICS ANALYST","محلل اقتصادى"
"1612023","COMMERCIAL ANALYST","محلل تجاري"
"1612024","REVENUE OFFICER","ضابط ايرادات"
"1612025","REVENUE ANALYST","محلل ايرادات"
"1612026","REVENUE MANAGER","مدير ايرادات"
"1612027","REVENUE SUPERINTENDENT","ملاحظ ايرادات"
"1612028","REVENUE ASSISTANT","مساعد ايرادات"
"1612029","REVENUE SUPERVISOR","مشرف ايرادات"
"1612030","SALES SPECIALIST","اختصاصى مبيعات"
"1612031","MARKETING SPECIALIST","اختصاصى تسويق"
"1612034","JUNIOR ASSISTANT RESEARCHER","مساعد باحث ثاني"
"4313000","MEDICAL EQUIPMENTS SALES","بائعو التجهيزات الطبيه"
"4313013","MEDICAL EQUIPMENTS SALES GEN","بائع تجهيزات طبيه عام"
"4313024","MEDICAL INSTRUMENTS SALES","بائع اجهزه طبيه"
"4313034","SURGERY TOOLS SALES","بائع ادوات جراحه"
"4313044","VETERINARY EQUIPMENTS SALES","بائع تجهيزات الطب البيطرى"
"4313054","MEDICENE SELES","بائع ادويه"
"4320000","CONST MATERIAL SUPLY SELL OCUP","بائعو المواد واللوازم الانشائيه"
"4321000","CONST MATERIALS SALES","بائعو المواد الانشائيه"
"4321013","CONST MATERIALS SALES GEN","بائع مواد انشائيه عام"
"4321025","METALS SALES","بائع معادن"
"4321035","WOOD SALES","بائع اخشاب"
"4321045","PAINTS SALES","بائع دهانات"
"4321055","BUILDING MATERIALS SALES","بائع مواد ابنيه"
"4321065","CARPENTRY TOOLS SUPLY SALES","بائع عدد ولوازم النجاره"
"4322000","CONSTRUCTION SUPPLIES SALES","بائعو اللوازم الانشائيه"
"4322013","CONST SUPPLIES SALES GEN","بائع لوازم انشائيه"
"4322024","ELECTRICAL INSTAL SUPLY SALES","بائع لوازم تمديدات كهربائيه"
"4322034","SANITARY SUPPLIES SALES","بائع لوازم تمديدات صحيه"
"4322044","A/C SUPPLIES SALES","بائع لوازم تكييف"
"4322054","HEATING SUPPLIES SALES","بائع لوازم تدفئه"
"4330000","ROAD CONST MACHI TRANS SEL OCU","بائعو اليات الطرق والنقل"
"4331000","ROAD AND CONST MACHI SALES","بائعو اليات الطرق والانشاء"
"4331013","CONST MACHINERY SALES GEN","بائع اليات انشائيه"
"4331023","ROAD MACHINERY SALES","بائع اليات طرق"
"4331033","CONSTRUCTION MACHINERY SALES","بائع اليات انشاء"
"4332000","CARS SALES","بائعو المركبات"
"4332013","NEW CARS/VEHICLES SALES","بائع مركبات جديده"
"4332023","USED CARS/VEHICLES SALES","بائع مركبات مستعمله"
"4332033","BOATS SALESMAN","بائع قوارب"
"4333000","BICYCLES SALESMEN","بائعو الدراجات"
"4333015","MOTORCYCLES SALES","بائع دراجات ناريه"
